video_id,video_title,description,published_at,channel_id,channel_title,video_category,video_view_count,like_count,comment_count,duration,region,video_url,store_type
GroQJIuV1r4,#태국 #방콕 #태국음식 #편의점 #라면 #세븐일레븐 #bangkok #??????? #점심시간 #태국직장생활,,2024-01-31 13:13,UCfD6gFFWzjMvdgUkr94-UTg,윤수Yoonsoo,22,955,3,0,36,KR,https://www.youtube.com/watch?v=GroQJIuV1r4,SEVEN
DsQxke3XEhU,태국 편의점 화장품 퀄리디 폼 미쳤다,"태국 세븐일레븐에서 궁금패서 사본 
립글로스 .... 퀄리티 뭐야 .... 더사올걸 .... 또르르르",2024-01-31 11:50,UCWYFT0XZ7UD-t6OzL2WdlhQ,Flying amanda,22,2960,26,0,35,KR,https://www.youtube.com/watch?v=DsQxke3XEhU,SEVEN
jJcaTfReVQI,세븐일레븐 Stop Don't Touch Me 챌린지 #jei #챌린지 #세븐일레븐 #shorts,,2024-01-31 11:30,UCDlAqQYBVUHU9YrXsJhnxIg,제이와 우리 Jei and We,22,176,5,0,8,KR,https://www.youtube.com/watch?v=jJcaTfReVQI,SEVEN
5eM2_sS8BLA,미친 퀄리티의 우동 & 유부초밥을 편의점에서???,#정호영 #우동 #세븐일레븐,2024-01-31 11:00,UCWyjY6ykM58LO5ipzRgIzGA,정호영의 오늘도 요리 Kitchen Caden,26,17622,706,55,728,KR,https://www.youtube.com/watch?v=5eM2_sS8BLA,SEVEN
0hpHvyfyW58,미치고 싶을 때 가는 편의점 #편의점 #청주세븐일레븐 #야먹자,"미치고 싶을 때 가는 편의점

#세븐일레븐청주뉴미래점 #DJ편의점 #dj",2024-01-31 10:20,UCnhONTiaXsEkshgbMuGH-Gw,야먹자 yamukja,19,6268,100,6,31,KR,https://www.youtube.com/watch?v=0hpHvyfyW58,SEVEN
#NAME?,세븐일레븐 출시! KBL 오피셜 카드 언박싱~,"여러분의 최애 선수는 누구인가요??
댓글로 남겨주세요~",2024-01-31 9:00,UCt_ArME66SzU7I1IgQWHDDA,세븐일레븐 I 7-Eleven Korea,20,2774,39,4,36,KR,https://www.youtube.com/watch?v=-n5PqG1fQoo,SEVEN
9NoNK3wV0R4,ASMR 꼬르륵 세븐일레븐 도시락 함박스테이크정식 배불배불 | ASMR 7-Eleven Lunch Box Hamburger Steak Set meal,,2024-01-31 4:10,UCZITepjbZFn5H93tuPQzXbA,JoemJoem ASMR,24,23,0,0,345,KR,https://www.youtube.com/watch?v=9NoNK3wV0R4,SEVEN
Ra3TF1JKifE,아직도 이거 모르는 사람? #reels #먹방,"편의점 하나 남아있길래 냉큼 집어왔고
가격은 한봉지 3,800원(37개입)

안 튀긴거라서 마음 놓고(?) 먹었는데
개당 36kcal 별로 높지 않지만
멍 때리면서 먹다보면
그 자리에서 한 10개는 먹을 수 있을거같더라구요

그리고 낱개포장이라
먼가 사무실 서랍에 쟁여두고 몰래 먹을 간식으로 딱 일듯
(녹혀먹으면 소리도 안남ㅋ)

맛은 우리가 흔히 아는 쌀과자랑 달라요.
얘는 사또밥처럼 입에 넣으면 사르르 녹는 식감에
겉에 시즈닝이 분유맛이 난달까..?

이거 누네띠네, 크리스피롤, 오트밀바이트
뒤를 이을 신종 인간사료 인정?

-우유쌀과자 3,800원(세븐일레븐 편의점기준)",2024-01-30 14:22,UCEvOTUhpdSv2si8Z8odHt8Q,이삼공 230,22,15637,145,6,22,KR,https://www.youtube.com/watch?v=Ra3TF1JKifE,SEVEN
xpJlNtdTIPc,일본 세븐일레븐 안주 best 5,,2024-01-30 13:48,UCSjYr25u7XMR-pZShbOSMIw,일본클릭,22,243,2,1,25,KR,https://www.youtube.com/watch?v=xpJlNtdTIPc,SEVEN
8Q981Sz0-l0,"편의점 신상먹방??푸하하 소금우유 크림빵, 빵빵이 오이호빵, 연세우유 생딸기생크림컵, 단팥생크림빵, 혀땳은앙꼬 피스타치오생크림도넛, 매일우유 생크림도넛 베리딸기, 보름달 호빵??","#편의점먹방 #신제품먹방 #편의점신상먹방 

맛난거 사랑하는 수다쟁이, 남영입니다!????
매주 화요일 업로드를 목표로 하고 있습니다
구독하셔서 함께 밥친구합세닷!!??

오늘도 어김없이 돌아온 편의점 먹방!!
이번에는 어쩌다보니 크림빵 특집처럼 되었네용ㅋㅎㅋㅎㅋ
정말 요즘 편의점 크림빵들 퀄리티 미친 것 같아요!!
촬영땐 쬐끔 물리는 듯 했지만 맛 자체가 대박적이라
두고두고 너무 맛있게 먹었답니다ㅎㅎ 
여러분들도 한 번쯤 드셔보시는거 추천드려용!!
그럼 오늘도 좋은 하루 되세요~~??

00:00 오프닝
00:25 7-ELEVEN 푸하하 소금우유 크림빵 2,900원
02:11 CU 연세우유 단팥생크림빵 2,800원
03:34 CU 연세우유 생딸기생크림컵 4,400원
05:02 CU 혀땳은앙꼬 피스타치오생크림도넛 2,900원
06:33 GS25 매일우유 생크림도넛 베리딸기 2,900원
07:51 삼립호빵 보름달 호빵 4,800원
08:48 삼립호빵 빵빵이 오이호빵 2,200원",2024-01-30 12:41,UCc3AijDgUx6emSG_YewBdPw,냠영 nyam young,22,10033,71,16,812,KR,https://www.youtube.com/watch?v=8Q981Sz0-l0,SEVEN
