ChannelID,Title,ViewCount,SubscriberCount,VideoCount
UCs9b0NyzHNp9JQrTL3MXZjw,디진남 Dejinnam- 디저트에 진심인 남자,4748283,7420,469
UCRI7UOrsN1noBeRYndFs8wA,제리얌 Jelly Yum,182781675,196000,733
UC-2u7dkhlFfmXzEA4EpftJg,요리요리 K-Food,244409525,318000,355
UCf58P6ztUQqKz_4VOmOON3Q,펀츄라이크,843245,1170,432
UCowYPFE1HKn0mhG0JAJ99vQ,반딧불이,136017,71,31
UCb6uSKrF8frmRewPQLkHXQA,우쥬,6720097,12900,93
UC5tNnix4D1xOmeAmIzUCuLQ,민욜티비 みにょるTV,576683,3900,107
UCsM07dUwo0WOWhFbVsG8K6A,CU [씨유튜브],255005022,818000,913
UCIQ1iuhvMv2BuZYXBjBeiAg,Milk Mommy,2220,4,3
UCyR2lhI2F23_nAaUilGwtbA,거제짱돌tv,572433,791,680
UC6H-Z2uYlHbViJmTU8XqK0Q,위성이,31577,25,36
UCHKXElXEFXCzP8d1gQSr5aQ,우리는편의점식구 No.1,3280239,10600,2842
UCVbYUFQu6pOHr_7bOTAZisQ,딩굴다현,16706054,14800,265
UCsWqCzhgA8tsEDNMofq9i0Q,편선생TV,1523986,8130,356
UCKOBBEXO5hVF-UnuZhkik8g,헤이 주디 Hey Judy Eats,3914842,10500,175
UCh-MYqTc9WP1Z84eEgdyahA,두리먹(durimuk),133074,93,147
UCydMyt4I5s7sTpnXas1wEdA,원세,14567,27,48
UC0XcZikuraijCVXMSJZyyDQ,Ryan TV,381031,374,705
UCMa-5a4Hg3KnbiDOvhdfb3w,TwinRoozi 쌍둥이 루지,6855204405,10700000,655
UCRmqLP3QlMMV6Yyyr6HKFwg,1분위스키,620697,1060,69
UCB8ixQyeAJbAG7hM8AuHXtA,점원테이블 dot1 table,1617,3,12
UCzL_e71-DtYOCza1pJUl8xA,큰머리언니,44953,33,80
UCM22Rj6KSpeuxbHmENLy2vg,마시썬,2113737,2610,380
UChzEV5QYwq69BPTYiFSVpuQ,집순이모드,6666,4,5
UCZyHzav_zkZFW9u8g3iwmNw,햎햄,364,3,36
UCBHBS7f4juaQ8KqSBMr6GEA,라면정복자피키,1467522,4620,572
UCqWdPfRO0PNL_Xt2Y-mSxVw,요즘신상,378540,489,84
UCao4qHQPcLZSRbRdsrrFRYw,짤컷,1595288474,1960000,824
UCOIer29XZipSE_4OkMUqrCQ,요롱이네 식품리뷰 먹방,852275,1790,904
UCOgBY_3qCy67CeFkkDwxE-g,현대전기상사 / HD조명TV,196161,297,425
UC3Q48bpDVdvsUGsRnCcGajw,다먹냠 ?!,685883,681,398
UCKm4qym2JWqI4w6tlKdjCwA,Klaudia Mosolygó,2158662,6620,191
UCjvPaV4O4cbeRxhjBAlCUFA,제이슨이츠 JasonEats,308212,692,298
UChlgI3UHCOnwUGzWzbJ3H5w, YTN,15685088728,4870000,835191
UCCn2r3hYpw8SCZlK0k6h0JA,먹고라니 Meokgorani,96360,62,17
UCuteaGLaJbA9wdagaK1w3Mg,나리,59236,300,8
UCH3h_a9JD2F0RQyft7ombfw,이코노미스트,1974749,16600,222
UCnL1m_iPeN8vX7zFHoB4SYg,테헤란로405,709407,1860,373
UCJzYwQjMYOsrZAHbf0FKM4A,화사한감자,1089572,741,959
UCcODtSizDiq5ybmdJ8KJsWA,cindythi,99475787,131000,325
UCASnaLPzzSB9H7Z_qCW1JQQ,4K KOREA,1967554,10100,622
UClMpIaLtHo8VhuMs8NR4VwA,빈둥입니다만,100608,117,112
UCDbhLQfQe7TNkbkZsFXUofA,먹자매,1792847,3040,1205
UCoFhuQLqMeFdrAzIZtpe0ew,대구근교 |경상도 아빠여행,1203464,2350,233
UC9d7jl5tz-sRl-gJt_opm_Q,수아홀릭_217,533931,599,686
UCnfwIKyFYRuqZzzKBDt6JOA,매일경제TV,188311437,770000,40019
UCOa8NGMgcuRu3MxaOoQ1o_A,씨유알럽,210882,300,52
UC1FZppTEDg3zkAVKq59tovQ,ssuzyday,49657,27,26
UCUkCF-2WnyShHcbyw2vem3g,신상주부,515627,358,277
UCaqWE6BOjmbW5ckurFlTG-w,꿀플,117446600,102000,560
UCZdZD_q4xh-8gKgWX949Yvg,냠냠,313961568,297000,603
UCmvESrGK8gjt5uHeXs-HGEQ,ASMR 동구,9151352,29800,352
UCSmIYmNRWJc3Tv1UbmCatbw,수짱하고싶은거다해💡,127530,147,54
UC2cxqyGjZ41vzKZ-Hx2ILfw,친따소,705729,2790,191
UCwPyfapS2pv7xpMK2NT8gLw,뉴민상,61162287,186000,719
UCGvugLvHVBvivnUhWARvAGw,심양갱,40086,36,91
UCoP4AaaxL7ZxesHWy-8eMQQ,미찐직장인🤡,164803,99,88
UCCL2Kd-TUmBEIq2vw_O3HZg,꿈꾸는로제,34305,30,48
UCxhVnFLHqBvFGwgpRLxhN8Q,게임러버,22846,33,11
UCt_rTwePfSoKsQU5FCKToWA,강아지 집사♡,1269397,2570,145
UCCPIEOSvt1LgRipy1ZpP_TQ,수와별,727781,507,164
UC1UM42_R51EOe-PU2wamO3A,편돌이7(세븐),267126,1440,125
UCl85oH_vx4KdEOY6JseKRqw,COMME CH,23650763,7860,8229
UCg7mmOadibPeWkqtBalHoRw,EnjoyTrip,137393,123,219
UC-qqHb7BVnKPMJtgTToIagw,비쥬월드,44354,57,29
UCW6N2WPTZZM-J7eSdLQWcbg,DALDAL_Hi 달달하이,4219154,9450,679
UCc9rDKL8QYYpgeuT04wN2dg,펫리뷰,23319402,32000,8994
UChh5ZV8-V3xTe494ClSmCGA,깔치는 개엄마 ,1108506,568,413
UCdDKOkid24zwr8Z2G7Kf5jA,<빨시계>,233715,1060,83
UCWpqeF2aqOcmjpbyqxCoi4w,레몬TV,74587,131,455
