video_id,video_title,description,published_at,channel_id,channel_title,video_category,video_view_count,like_count,comment_count,duration,region,video_url
9nNxyydMr2Q,"[기업] GS25 기부 캠페인...""마감 할인 상품 사면 100원 나눔"" / YTN","편의점 GS25는 소비기한이 얼마 남지 않은 상품을 판매하면 기부금이 쌓이는 캠페인에 나섰습니다.

소비자가 GS25 앱을 이용해 마감 할인 간편식을 사면 1개당 100원씩 기부금이 쌓입니다.

GS25는 버려지는 음식물을 줄이기 위해 마감 할인 상품 10만 개를 대상으로 기부금을 조성한 뒤 결식아동 지원에 활용할 계획입니다.

지난해 11월 말부터 GS25는 소비기한이 임박한 도시락과 김밥 등을 최대 45% 할인된 가격에 판매하고 있습니다.




YTN 황보혜경 (bohk1013@ytn.co.kr)

※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr

▶ 기사 원문 : https://www.ytn.co.kr/_ln/0102_202401111556005258
▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php

▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ

ⓒ YTN 무단 전재, 재배포금지 및 AI 데이터 활용 금지",2024-01-11T09:58:38Z,UChlgI3UHCOnwUGzWzbJ3H5w, YTN,25,531,3,0,PT16S,KR,https://www.youtube.com/watch?v=9nNxyydMr2Q
Z4w_ceTOaAA,"[기업] GS25, 3월 한 달 동안 '반값 택배' 할인 행사 / YTN","편의점 GS25가 '반값 택배' 서비스 출시 5주년을 맞아 할인 행사를 진행합니다.

5주년 당일인 3월 25일에 GS 앱에서 반값 택배를 접수하면 절반 가격에 택배를 이용할 수 있는 포인트를 제공합니다.

GS25 측은 편의점 자체 물류망을 활용한 반값 택배 누적 이용 건수가 지난달 기준 3천만 건을 넘었다고 밝혔습니다.






YTN 황보혜경 (bohk1013@ytn.co.kr)

※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr

▶ 기사 원문 : https://www.ytn.co.kr/_ln/0102_202402291633570963
▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php

▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ

ⓒ YTN 무단 전재, 재배포금지 및 AI 데이터 활용 금지",2024-02-29T09:54:21Z,UChlgI3UHCOnwUGzWzbJ3H5w, YTN,25,582,4,4,PT17S,KR,https://www.youtube.com/watch?v=Z4w_ceTOaAA
#NAME?,"[기업] GS리테일, 설 맞아 4천5백만 원 상당 물품 기부 / YTN","GS리테일은 설 명절을 맞아 어려운 이웃을 위해 4천5백만 원 상당의 물품을 기부했다고 밝혔습니다.

한 부모와 조손가정 200가구에 총 3천만 원 상당의 설날 키트를, 복지관을 이용하는 어르신에게는 천5백만 원어치의 김치를 각각 제공했습니다.

기부금은 지난해 12월 편의점 GS25에서 진행한 캠페인을 통해 마련했는데 고객이 혜자도시락을 구매하면 GS25가 천 원의 기부금을 내는 방식입니다.




YTN 김선희 (sunny@ytn.co.kr)

※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr

▶ 기사 원문 : https://www.ytn.co.kr/_ln/0102_202402081636170190
▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php

▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ

ⓒ YTN 무단 전재, 재배포금지 및 AI 데이터 활용 금지",2024-02-08T09:56:10Z,UChlgI3UHCOnwUGzWzbJ3H5w, YTN,25,447,1,0,PT19S,KR,https://www.youtube.com/watch?v=-X7X6HB3ehk
S6C5tQJgY60,"[기업] GS25, 편의점 업계 최초 한정판 막걸리 출시 / YTN","편의점 GS25는 다음 달부터 업계 최초로 한정판 막걸리를 출시합니다.

한국가양주연구소 류인수 소장과 협업한 이 막걸리는 담금 과정을 다섯 번 거쳐야만 발효가 완성되는 오양주 기법이 적용됐습니다.

GS25 측은 가격을 9천 원대로 책정하고, 9천 병을 한정 판매할 계획이라고 밝혔습니다.





YTN 황보혜경 (bohk1013@ytn.co.kr)

※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr

▶ 기사 원문 : https://www.ytn.co.kr/_ln/0102_202404251604212376
▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php

▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ

ⓒ YTN 무단 전재, 재배포금지 및 AI 데이터 활용 금지",2024-04-25T09:49:32Z,UChlgI3UHCOnwUGzWzbJ3H5w, YTN,25,1168,14,1,PT16S,KR,https://www.youtube.com/watch?v=S6C5tQJgY60
7XDtEp0OTuw,"[기업] GS25, 호빵·붕어빵 등 겨울 간식 상품 판매 시작 / YTN","GS25가 겨울 간식 판매에 들어갑니다.

GS25는 내일부터 호빵과 붕어빵 판매를 차례로 시작해 가을과 초겨울의 간식 수요를 잡겠다고 밝혔습니다.

지난해 GS25의 호빵 식품의 판매 비중은 33.5%로 1년 전과 비교해 5.3% 증가해 겨울철 편의점 간식 수요가 커지고 있는 것으로 분석됐습니다.





YTN 오동건 (odk79829@ytn.co.kr)

※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr

▶ 기사 원문 : https://www.ytn.co.kr/_ln/0102_202409251609054431
▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php

▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ

ⓒ YTN 무단 전재, 재배포금지 및 AI 데이터 활용 금지",2024-09-25T08:47:48Z,UChlgI3UHCOnwUGzWzbJ3H5w, YTN,25,834,3,1,PT19S,KR,https://www.youtube.com/watch?v=7XDtEp0OTuw
6y0ktK4crv4,"[기업] GS25 판매 케이팝 앨범, 외국인 매출 비중 54% / YTN","GS25가 지난해부터 매장에서 판매한 K팝 앨범의 매출에서 외국인 소비자의 비중이 54%에 달한다고 밝혔습니다.

매장에서 앨범을 구매한 외국인 소비자는 1인당 평균 47개를 구매하는 것으로 나타나 내국인 소비자보다 구매량이 2.6배 높은 것으로 조사됐습니다.

GS25는 케이팝 팬들이 앨범에 포함된 포토 카드나 스티커 같은 확률형 상품을 얻기 위해 여러 개를 구매한 것으로 보인다고 분석했습니다.





YTN 오동건 (odk79829@ytn.co.kr)

※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr

▶ 기사 원문 : https://www.ytn.co.kr/_ln/0102_202409231633399150
▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php

▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ

ⓒ YTN 무단 전재, 재배포금지 및 AI 데이터 활용 금지",2024-09-23T20:22:47Z,UChlgI3UHCOnwUGzWzbJ3H5w, YTN,25,758,4,0,PT23S,KR,https://www.youtube.com/watch?v=6y0ktK4crv4
Qz_zJvj3cXk,"[기업] 제일기획·GS25, 물놀이 사고 막는 과자 개발 / YTN","제일기획과 GS25는 물놀이 사고를 예방하는 과자를 만들어 피서지에서 9세 이하 어린이들에게 무료로 배포했다고 밝혔습니다.

이 과자는 구조대에서 많이 사용하는 주황색 포장지에 양손으로 잡을 수 있는 손잡이가 달려있어 실제 구조용 부표로 활용할 수 있습니다.

제일기획은 익수 사고 환자 가운데 30％가 9세 이하 어린이라는 자료를 보고 어린이 대표 간식인 봉지 과자를 안전용품으로 바꾸는 제품을 개발했다고 말했습니다.





YTN 최아영 (cay24@ytn.co.kr)

※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr

▶ 기사 원문 : https://www.ytn.co.kr/_ln/0102_202409120039400352
▶ 제보 하기 : https://mj.ytn.co.kr/mj/mj_write.php

▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ

ⓒ YTN 무단 전재, 재배포금지 및 AI 데이터 활용 금지",2024-09-11T15:50:59Z,UChlgI3UHCOnwUGzWzbJ3H5w, YTN,25,1547,3,4,PT21S,KR,https://www.youtube.com/watch?v=Qz_zJvj3cXk
NXdFoBfrq4w,GS25 편의점에서 사온 맛있는 골든 단팥방♡♡,,2024-03-28T11:37:19Z,UCE2zAooZLVjlkU6zMYt0p-w, 하늘 [HANEUL],22,110,5,0,PT25S,KR,https://www.youtube.com/watch?v=NXdFoBfrq4w
rHNm4xw81IU,먹방😝#cu#GS25,,2024-09-13T05:27:44Z,UCTGC5FWxQ_H6MpgGKD_yR-g,@숭이🙈,22,36,3,0,PT58S,KR,https://www.youtube.com/watch?v=rHNm4xw81IU
T1VNgg-wBBk,GS25 영상,,2024-06-10T12:20:40Z,UC3ea5kzi7_1LEYWiJqjf34Q,@야미소다,22,7,4,0,PT6M22S,KR,https://www.youtube.com/watch?v=T1VNgg-wBBk
sKG-HAyjPak,@햄찌모찌#두바이초콜릿#Gs25🐹,,2024-08-11T01:15:34Z,UC7usoWPRF8vy9ajWV6Wqgkg,@햄찌모찌,22,473,11,2,PT16S,KR,https://www.youtube.com/watch?v=sKG-HAyjPak
mdq-6SNScC0,#두바이초콜릿#GS25#카다이프#바삭#떡상기원#추천추천추천추천#햄찌모찌부계,,2024-08-11T01:14:20Z,UCb6cj1817qZRdEH3D-5D7GA,@햄찌모찌부계,22,496,10,0,PT15S,KR,https://www.youtube.com/watch?v=mdq-6SNScC0
