ChannelID,Title,ViewCount,SubscriberCount,VideoCount
UChlgI3UHCOnwUGzWzbJ3H5w, YTN,15691845631,4870000,835207
UCE2zAooZLVjlkU6zMYt0p-w, 하늘 [HANEUL],195071,276,671
UCTGC5FWxQ_H6MpgGKD_yR-g,@숭이🙈,78669,231,537
UC3ea5kzi7_1LEYWiJqjf34Q,@야미소다,1725,21,120
UC7usoWPRF8vy9ajWV6Wqgkg,@햄찌모찌,8199,36,66
UCb6cj1817qZRdEH3D-5D7GA,@햄찌모찌부계,17063,62,76
UCXtJaI82xFyjgK-9Z4dVh_A,[SinoLita]시노리타,459715,785,569
UChzBlkriNE_axz8tPwgkIdQ,[Traveler]아티스트태이,90611,86,566
UC5G4rc0pwGP2H19m4ORaYPA,[대근대근] DAE KEUN,970918,8940,368
UCLdcW8EBtf04taWfGMWRWVw,[디저트리뷰] 빵도리 Youtube,1816,1,4
UCysSC6UjONpWKMbBupJZjpg,[빵튜브] 뽀니 BreadTube,66072224,146000,1018
UC059w85pwo3df1KTFtDslZQ,[스카이데일리 TV],11238555,210000,926
UCk5pyCIE164HfoIIX6yx8Yw,[승승클로스]seungseungclaus,5797940,11700,1955
UCyLyPlwecStshF7GitgyU2A,♡2YOUNGS♡,1148,3,22
UCRjDWXlBXCKgo37l3QL8kCA,♡TAERYN♡,143658,154,542
UCdkPtawOAHgvnsA6poeM8iw,♥️정보요정죠죠♥️,51461,29,29
UCbZfhGVAqD-h854hSE1Mf0A,⭐️스텔라(Stella)⭐️,8858,48,64
UCLKuglhGlMmDteQKoniENIQ,14F 일사에프,1054218503,2180000,4980
UCQeVSPCX3R9YIIeuWmXyvzA,15초리뷰,39594,10400,18
UC6T824Y3FVKJ3c39EvBpo7A,1E의 경제 뉴스,55522,507,82
UChG54OF8i0Rrq_pe1pecS4g,1분지식 - 일지,100977039,61200,691
UCrmsUYmHqNQe0QorU7-LtMQ,1인미디어,13,0,1
UCsrG90Jiq4FyLPZOqSbIIyQ,1인의 식사,157316,833,254
